id,name,team
P0131,강예은,기획팀
P0132,정도윤,마케팅팀
P0133,장도윤,개발팀
P0134,이예은,디자인팀
P0135,임예은,개발팀
P0136,이은우,마케팅팀
P0137,강도윤,마케팅팀
P0138,임채원,기획팀
P0139,조은우,영업팀
P0140,정민준,마케팅팀
P0141,김채원,영업팀
P0142,강하은,기획팀
P0143,강은우,재무팀
P0144,이예은,인사팀
P0145,조도윤,마케팅팀
P0146,정채원,디자인팀
P0147,최하은,마케팅팀
P0148,박은우,인사팀
P0149,조채원,개발팀
P0150,정예은,영업팀
P0151,조은우,재무팀
P0152,윤시우,고객지원팀
P0153,최채원,고객지원팀
P0154,박서연,인사팀
P0155,장은우,재무팀
P0156,이지우,인사팀
P0157,최지우,디자인팀
P0158,김민준,영업팀
P0159,윤은우,기획팀
P0160,윤하은,영업팀
P0161,조시우,마케팅팀
P0162,최지호,개발팀
P0163,이하은,영업팀
P0164,박채원,고객지원팀
P0165,김채원,영업팀
P0166,이시우,디자인팀
P0167,윤채원,재무팀
P0168,윤은우,마케팅팀
P0169,장시우,디자인팀
P0170,윤시우,인사팀
P0171,최예은,고객지원팀
P0172,최예은,고객지원팀
P0173,이예은,영업팀
P0174,정도윤,재무팀
P0175,장서연,디자인팀
P0176,박지우,마케팅팀
P0177,박지우,기획팀
P0178,조하은,재무팀
P0179,장시우,마케팅팀
P0180,김지우,마케팅팀
P0181,조은우,개발팀
P0182,임하은,고객지원팀
P0183,김도윤,인사팀
P0184,조하은,영업팀
P0185,윤지우,인사팀
P0186,조시우,개발팀
P0187,조도윤,마케팅팀
P0188,박시우,디자인팀
P0189,임채원,개발팀
P0190,조은우,개발팀
P0191,이하은,디자인팀
P0192,윤지호,개발팀
P0193,정하은,재무팀
P0194,최시우,재무팀
P0195,강하은,인사팀
P0196,조예은,기획팀
P0197,윤민준,개발팀
P0198,강지우,기획팀
P0199,김민준,영업팀
P0200,최민준,디자인팀
P0201,최지호,고객지원팀
P0202,이은우,영업팀
P0203,윤예은,재무팀
P0204,박은우,기획팀
P0205,박예은,기획팀
P0206,임민준,인사팀
P0207,임하은,마케팅팀
P0208,최서연,영업팀
P0209,이예은,기획팀
P0210,임민준,재무팀
P0211,장하은,재무팀
P0212,이채원,재무팀
P0213,김하은,고객지원팀
P0214,이하은,재무팀
P0215,윤지호,마케팅팀
P0216,박채원,인사팀
P0217,임채원,고객지원팀
P0218,윤하은,인사팀
P0219,강지우,기획팀
P0220,정시우,영업팀
P0221,윤은우,마케팅팀
P0222,강민준,고객지원팀
P0223,강지호,고객지원팀
P0224,최도윤,인사팀
P0225,강예은,인사팀
P0226,장민준,영업팀
P0227,이지우,마케팅팀
P0228,윤채원,영업팀
P0229,윤시우,고객지원팀
P0230,김서연,인사팀
P0231,최하은,영업팀
P0232,정은우,재무팀
P0233,윤채원,재무팀
P0234,조채원,재무팀
P0235,강시우,인사팀
P0236,정예은,영업팀
P0237,이지우,재무팀
P0238,이채원,디자인팀
P0239,최지우,고객지원팀
P0240,정은우,인사팀
P0241,이지우,인사팀
P0242,최도윤,디자인팀
P0243,정민준,디자인팀
P0244,정민준,개발팀
P0245,장예은,디자인팀
P0246,윤서연,개발팀
P0247,임예은,고객지원팀
P0248,윤시우,재무팀
P0249,박민준,인사팀
P0250,윤서연,기획팀
